industry,review_comment,rating
International Airport,European passengers at Hartsfield-Jackson Atlanta International Airport already fearing the worst with the new President Donald J. Trump flight ban. I just spoke to a passenger who landed 30mins ago from Amsterdam & he's already trying to get a flight out before it's not possible. CBS46 #coronavirus  #COVID19 #Atlanta,2
International Airport,Today is certainly a reflection of the gloom and doom in the world right now. atlairport #gloomy #fear #anxiety #coronavirus #panic #travel atlairport delta,2
International Airport,"The Busiest Airport looks like this today 😮😮😮
The inside looked like a ghost town! 
#atlantanights 
#airportshuttle 
#cityofatlanta 
#coronavirus",2
International Airport,COVID-19's impact on the busiest airport in the WOLRD Hartsfield-Jackson Atlanta International Airport,2
International Airport,Much construction. Confusion when picking up customers.,2
International Airport,"At this time it was very frustrating because my husband was made to pay 209.00 because his flight was not registered. It is not fair, because he had already paid 153.00.",2
Airport,"A ghost town, the political and media fear tactics must stop",2
Airport,"I’m a Uber/Lyft driver and having us pickup so far from the terminals is really upsetting at lot of my passengers.  

We should be able to pick up at the terminals to make it easy for your customers.",2
Airport,"The shuttle buses to/from Terminal B are extremely limited. Several people had to wait for a single bus going back and forth. 

Lucky I made my flight. 

Add extra time.",2
Airport,WOW. Just got security checked at the Sacramento International Airport and the girl literally shoved her fingers up in my vahjayjay and she used such force checking my behind I almost feel and in pain. WTF security. I feel violated in SO many ways.,2
International Airport,"Sky train, walk, up down down up, security, train, walk and chic-fil-a only place open. Not even a starbucks.",2
Airport,"(Translated by Google) Bad

(Original)
Malo",2
International Airport,No place to charge my phone or electronics,2
International Airport,Had to walk 2 or 3 miles from landing area to baggage then to car rental!  Limited train action! Sad thing for nice large airport!,2
International Airport,I imagined hell and I got the Atlanta airport.,2
International Airport,"If you have connecting flights and you are hungry, you better have bought snacks in your first airport terminal because there was only 1 food vendor open! Ridiculous for an airport with as many concourses and terminals to not have enough care to have access especially since the flights have all but  eliminated inflight food service.",2
International Airport,"(Translated by Google) crowded

(Original)
Affollatissimo",2
International Airport,"They removed the smoking lounge, sad",2
International Airport,Crowded need a better way to get through TSA especially,2
International Airport,TSA agents are rude and need personal training on customer service with respect,2
International Airport,Today was terrible between terrible service and crazy people. This has by far been my worst experience at Hartsfield. Only decent person was the wheelchair attendant,2
Airport,"Most restaurants are closed. California pizza is open but it was $20 for a very small dried out pepperoni pizza
 Ugh!",2
Airport,40 minutes on the ground because a toilet will not flush,2
International Airport,TSA was not fully staff for the amount of people and there was a funny smell 🤨,2
International Airport,I was extremely disappointed in the facilities in Atlanta.  Only one fast food place open and one news stand type store with limited selection. The tsa  employees were curt during a security check. Other employees at the gate for southwest were wonderful.,2
International Airport,"Slow, one lane for TSA and very backed up.  Not laid out very well.  A lot of walking to get no where.  No shuttles available for older folks.  Very, very nice United agent (Diane) that was a huge help.  Needs to be more friendly, helpful and better layout.",2
International Airport,Large. Very confusing for someone who hasn't flown since 2005,2
International Airport,"My plane was delayed 3 times, and they change gates three times from one side of the airport to the other side of the airport. Very annoying and aggravating",2
International Airport,"Many of the eateries were closed. Then again the airport was like a ghost town. The line for Chic-Fil-A was nearly 80 yards long. We ate at PF Changs- $95, for two people.",2
International Airport,"When you spend a day traveling through several airports, you really notice the ones that give the extra effort to standout. You also notice the ones that don't (example: Atlanta International). Nothing over the top special. They do have some art sculptures around (but you need to search for them), children's art on the walls, and food options that you can find anywhere out in town.",2
International Airport,"Delta turn our flight around due to a maintenance issue.  While waiting for our new plane we were moved three times to different terminals so far.  Still am have not  boarded, so may not be the last.",2
International Airport,Baggage claim for my American Airline flight was too far away,2
International Airport,"Clean airport, hit or miss on staff. Some are amazing friendly others quite scowly. Found it odd I wasn't able to enter any lounges with a first class ticket.",2
International Airport,Traffic at the south terminal is still a mess,2
Airport,"There was no place to park in front of Arrival area. The parking officer kept telling us to move, but we had no place to go!",2
International Airport,"The lack of restuarant opens early are low, and the kiosk also does not accurately tell you when things are open either. I had tried a few outlets to charge my phone, but even after trying a few of them they would not work.",2
Airport,Very slow. 4 buses passed before one could pick up. This driver stopped taking passengers who were waiting while there was still quite a few empty seats and luggage space. He radioed in that the bus was full! Awful service,2
Airport,$12 a day and count on a shuttle only every 30 minutes. It's faster to just walk to the terminals don't wait for those people,2
International Airport,Really not user friendly anymore . Most workers are very rude.,2
International Airport,"Not much open due to covid which is understandable. Clean and easy to navigate. 5 stars for the airport itself, 1 star for how rude TSA is at this airport and the setup of TSA. Huge attitude for nothing. Very condescending and unprofessional. I get they have a serious job but it's uncalled for how they talk to people.",2
